"C_ID"|"C_ID"|"C_ACTUALARRIVAL"|"C_ACTUALDEPARTURE"
"73f316ac79c18950000001288d32c64e00ae"|"73f316ac79c18950000001288d32c63e00ad"|08.04.10 09:54:02,000000000|08.04.10 08:18:46,000000000
"73f316ac79c18950000001288d32c65e00af"|"73f316ac79c18950000001288d32c64e00ae"|08.04.10 10:45:39,000000000|08.04.10 10:04:02,000000000
"73f316ac79c18950000001288d32c66d00b0"|"73f316ac79c18950000001288d32c65e00af"|08.04.10 12:09:13,000000000|08.04.10 11:15:39,000000000
"73f316ac79c18950000001288d32d19900b2"|"73f316ac79c18950000001288d32d18900b1"|08.04.10 02:23:21,000000000|08.04.10 00:00:00,000000000
"73f316ac79c18950000001288d32d1a800b3"|"73f316ac79c18950000001288d32d19900b2"|08.04.10 07:13:52,000000000|08.04.10 04:43:21,000000000
"73f316ac79c18950000001288d32d1b800b4"|"73f316ac79c18950000001288d32d1a800b3"|08.04.10 08:02:26,000000000|08.04.10 07:33:52,000000000
"73f316ac79c18950000001288d32e0eb00b6"|"73f316ac79c18950000001288d32e0db00b5"|08.04.10 01:46:11,000000000|08.04.10 00:00:00,000000000
"73f316ac79c18950000001288d32e0fa00b7"|"73f316ac79c18950000001288d32e0eb00b6"|08.04.10 03:42:22,000000000|08.04.10 01:56:11,000000000
"73f316ac79c18950000001288d32e94700b9"|"73f316ac79c18950000001288d32e93800b8"|09.04.10 06:00:00,000000000|09.04.10 04:56:16,000000000
"73f316ac79c18950000001288d32e95700ba"|"73f316ac79c18950000001288d32e94700b9"|09.04.10 08:38:00,000000000|09.04.10 06:10:00,000000000
"73f316ac79c18950000001288d32e96600bb"|"73f316ac79c18950000001288d32e95700ba"|09.04.10 11:51:15,000000000|09.04.10 09:58:00,000000000
"73f316ac79c18950000001288d32f4a100bd"|"73f316ac79c18950000001288d32f49200bc"|09.04.10 06:00:00,000000000|09.04.10 04:03:51,000000000
"73f316ac79c18950000001288d32f4b100be"|"73f316ac79c18950000001288d32f4a100bd"|09.04.10 07:30:54,000000000|09.04.10 07:20:00,000000000
"73f316ac79c18950000001288d32f4c100bf"|"73f316ac79c18950000001288d32f4b100be"|09.04.10 10:16:16,000000000|09.04.10 08:00:54,000000000
"73f316ac79c18950000001288d32f4d000c0"|"73f316ac79c18950000001288d32f4c100bf"|09.04.10 12:24:09,000000000|09.04.10 10:36:16,000000000
"73f316ac79c18950000001288d32f4e000c1"|"73f316ac79c18950000001288d32f4d000c0"|09.04.10 12:57:31,000000000|09.04.10 12:34:09,000000000
"73f316ac79c18950000001288d33020f00c3"|"73f316ac79c18950000001288d3301ff00c2"|09.04.10 06:00:00,000000000|09.04.10 03:54:43,000000000
"73f316ac79c18950000001288d33021f00c4"|"73f316ac79c18950000001288d33020f00c3"|09.04.10 06:43:51,000000000|09.04.10 06:10:00,000000000
"73f316ac79c18950000001288d33022e00c5"|"73f316ac79c18950000001288d33021f00c4"|09.04.10 08:40:02,000000000|09.04.10 06:53:51,000000000
"73f316ac79c18950000001288d2de1dd00ea"|"73f316ac79c18950000001288d2de1be00e9"|06.04.10 14:04:23,000000000|06.04.10 14:03:40,000000000
"73f316ac79c18950000001288d2de1ed00eb"|"73f316ac79c18950000001288d2de1dd00ea"|06.04.10 14:45:56,000000000|06.04.10 14:34:23,000000000
"73f316ac79c18950000001288d3309a000c8"|"73f316ac79c18950000001288d33099100c7"|09.04.10 06:33:28,000000000|09.04.10 06:10:00,000000000
"73f316ac79c18950000001288d3309b000c9"|"73f316ac79c18950000001288d3309a000c8"|09.04.10 07:06:26,000000000|09.04.10 06:43:28,000000000
